Date		Location	Operator	Fatalities	On-board
17-Sep-1908	Fort Myer	Virginia	Military - U.S. Army	1	2
7-Sep-1909	Juvisy-sur-Orge	France	?	1	1
12-Jul-1912	Atlantic City	New Jersey	Military - U.S. Navy	5	5
6-Aug-1913	"Victoria , British Columbia"	Canada	Private	1	1
9-Sep-1913		Over the North Sea	Military - German Navy	14	20
17-Oct-1913	Near Johannisthal	Germany	Military - German Navy	30	30
5-Mar-1915	Tienen	Belgium	Military - German Navy	21	41
3-Sep-1915	Off Cuxhaven	Germany	Military - German Navy	19	19
28-Jul-1916	Near Jambol	Bulgeria	Military - German Army	20	20
24-Sep-1916	Billericay	England	Military - German Navy	22	22
1-Oct-1916	Potters Bar	England	Military - German Navy	19	19
21-Nov-1916	Mainz	Germany	Military - German Army	27	28
28-Nov-1916	Off West Hartlepool	England	Military - German Navy	20	20
4-Mar-1917	Near Gent	Belgium	Military - German Army	20	20
30-Mar-1917		Off Northern Germany	Military - German Navy	23	23
14-May-1917	Near Texel Island	North Sea	Military - German Navy	21	21
14-Jun-1917	Off Vlieland Island	North Sea	Military - German Navy	24	24
17-Jun-1917	Near Yarmouth	England	?	14	16
21-Aug-1917		Off western Denmark	Military - German Navy	18	18
20-Oct-1917	Near Luneville	France	Military - German Navy	18	18
7-Apr-1918		Over the Mediterranean	Military - German Navy	23	23
10-May-1918	Off Helgoland Island	Germany	Military - German Navy	22	22
11-Aug-1918	Ameland Island	North Sea	Military - German Navy	19	19
16-Dec-1918	Elizabeth	New Jersey	US Aerial Mail Service	1	1
25-May-1919	Cleveland	Ohio	US Aerial Mail Service	1	1
19-Jul-1919	Dix Run	Pennsylvania	US Aerial Mail Service	1	1
2-Aug-1919	Verona	Italy	Caproni Company	14	14
2-Oct-1919	Newcastle	England	Aircraft Transport and Travel	1	1
14-Oct-1919	Cantonsville	Maryland	US Aerial Mail Service	1	1
20-Oct-1919		English Channel	Aircraft Transport and Travel	?	?
30-Oct-1919	Long Valley	New Jersey	US Aerial Mail Service	1	1
11-Dec-1919	"Catherham , Surrey"	UK	Aircraft Travel Transport	1	1
10-Mar-1920	New Paris	Indiana	US Aerial Mail Service	1	1
30-Mar-1920	Newark	New Jersey	US Aerial Mail Service	1	1
10-Apr-1920	Newark	New Jersey	US Aerial Mail Service	1	2
11-Apr-1920	Heller Field	New Jersey	US Aerial Mail Service	1	2
12-May-1920	Oskaloosa	Iowa	US Aerial Mail Service	1	2
6-Jun-1920	Cleveland	Ohio	US Aerial Mail Service	1	1
20-Jun-1920	Cartagena	Columbia	Compa�ia Colombiana de Navegaci�n A�rea	1	1
16-Aug-1920	Bedford	England	By Air	1	1
16-Aug-1920	College Park	Maryland	US Aerial Mail Service	1	1
1-Sep-1920	Morristown	New Jersey	US Aerial Mail Service	2	2
15-Sep-1920	Pemberville	Ohio	US Aerial Mail Service	2	2
27-Sep-1920	Hillersburg	Pennsylvania	US Aerial Mail Service	1	1
2-Oct-1920	Off Port Vendres	France	Latecoere Airlines	2	2
5-Oct-1920	Valencia	Spain	Latecoere Airlines	2	2
15-Oct-1920	Batavia	Illinois	US Aerial Mail Service	1	1
7-Nov-1920	Tie Siding	Wyoming	US Aerial Mail Service	1	1
14-Dec-1920	London	England	Handley Page Transport	4	8
24-Dec-1920	Barcelona	Spain	Aeropostale	1	1
3-Feb-1921	Mendotta	Minnisota	US Aerial Mail Service	1	1
9-Feb-1921	La Crosse	Wisconsin	US Aerial Mail Service	3	3
15-Feb-1921		Off Gibraltar	Aeropostale	2	2
22-Feb-1921	Elko	Nevada	US Aerial Mail Service	1	1
6-Apr-1921	Point Cook	Australia	Military - Royal Australian Air Force	1	2
21-Apr-1921	Mitchel Field	NY	US Aerial Mail Service	1	1
29-Apr-1921	Cleveland	Ohio	US Aerial Mail Service	1	1
17-May-1921	Rock Springs	Wyoming	US Aerial Mail Service	1	1
14-Aug-1921	Toulouse	France	Aeropostale	2	2
24-Aug-1921	River Humber	England	Military - Royal Airship Works	46	46
6-Sep-1921	Paris	France	Franco-Roumaine	5	5
5-Dec-1921	Near Murchinson River	Australia	West Australian Airways	3	3
14-Jan-1922	Paris	France	Handley Page Transport	5	5
21-Feb-1922	Near Norfolk	Virginia	Military - U.S. Army Air Service	34	45
22-Mar-1922		North Atlantic Ocean	Aero Limited	5	6
7-Apr-1922	Grandvilliers	France	Daimler Airways / Grands Express Aeriens	7	7
8-Apr-1922	Pao Ting Fou	China	?	17	17
3-Jun-1922	"Off Folkestone , Kent"	England	Cie des Messageries Aeriennes	3	3
4-Jul-1922	Fuhlsbuttel	Germany	?	2	3
16-Jul-1922	"Near Saverne , Lorraine"	France	Compagnie Franco-Roumaine de Navigaation Aerienne	5	5
26-Jul-1922	Cadix	Spain	Grands Express Aeriens	3	3
7-Sep-1922	Indianapolis	Indiana	US Aerial Mail Service	1	1
2-Oct-1922	Venice	Italy	?	4	4
